ID_Cliente,Ciudad,Cliente,Genero,Linea_Producto,Precio_Unitario,Cantidad,Hora,Medio_Pago,Rating
ADJ025,Lima,Normal,Masculino,Salud y belleza,14.82,3,11:30,Tarjeta crédito,8.7
ADJ026,Trujillo,Normal,Femenino,Accesorios Electrónicos,45.48,10,10:22,Tarjeta crédito,4.8
ADJ027,Trujillo,Afiliado,Femenino,Accesorios de moda,22.32,4,16:23,Tarjeta crédito,4.4
ADJ028,Lima,Afiliado,Masculino,Comidas y bebidas,53.72,1,20:03,Tarjeta débito,6.4
ADJ029,Trujillo,Normal,Masculino,Deportes y viajes,42.47,1,16:57,Efectivo,5.7
ADJ030,Arequipa,Normal,Masculino,Accesorios de moda,99.82,2,18:09,Tarjeta crédito,6.7
ADJ031,Lima,Normal,Femenino,Salud y belleza,34.21,10,13:00,Efectivo,5.1
ADJ032,Lima,Afiliado,Masculino,Accesorios de moda,40.61,9,13:40,Efectivo,7
ADJ033,Lima,Normal,Masculino,Accesorios Electrónicos,22.01,6,18:50,Efectivo,7.6
ADJ034,Trujillo,Afiliado,Masculino,Comidas y bebidas,41.66,6,15:24,Tarjeta débito,5.6
ADJ035,Arequipa,Afiliado,Femenino,Deportes y viajes,31.67,8,16:19,Tarjeta crédito,5.6
ADJ036,Lima,Normal,Masculino,Deportes y viajes,44.63,6,20:08,Tarjeta crédito,5.1
ADJ037,Arequipa,Afiliado,Masculino,Hogar y estilo de vida,56.11,2,10:11,Efectivo,6.3
ADJ038,Trujillo,Afiliado,Femenino,Salud y belleza,18.33,1,18:50,Efectivo,4.3
ADJ039,Trujillo,Normal,Femenino,Comidas y bebidas,10.96,10,20:48,Tarjeta débito,6
ADJ040,Lima,Normal,Masculino,Hogar y estilo de vida,93.87,8,18:42,Tarjeta crédito,8.3
ADJ041,Lima,Afiliado,Masculino,Comidas y bebidas,46.55,9,15:34,Tarjeta débito,6.4
ADJ042,Arequipa,Normal,Femenino,Accesorios de moda,95.42,4,13:23,Tarjeta débito,6.4
ADJ043,Lima,Afiliado,Femenino,Accesorios Electrónicos,26.26,7,19:40,Efectivo,9.9
ADJ044,Trujillo,Afiliado,Masculino,Accesorios de moda,43.13,10,18:31,Tarjeta crédito,5.5
ADJ045,Arequipa,Normal,Masculino,Comidas y bebidas,65.97,8,20:29,Efectivo,8.4
ADJ046,Trujillo,Afiliado,Femenino,Deportes y viajes,51.52,8,15:47,Efectivo,9.6
ADJ047,Lima,Normal,Femenino,Accesorios de moda,25.56,7,20:42,Efectivo,7.1
ADJ048,Arequipa,Afiliado,Femenino,Comidas y bebidas,38.42,1,16:33,Efectivo,8.6
ADJ049,Arequipa,Normal,Femenino,Accesorios Electrónicos,35.49,6,12:40,Efectivo,4.1
ADJ050,Arequipa,Afiliado,Femenino,Accesorios de moda,83.35,2,14:05,Tarjeta crédito,9.5
ADJ051,Trujillo,Afiliado,Masculino,Deportes y viajes,88.63,3,17:36,Tarjeta débito,6
ADJ052,Arequipa,Normal,Femenino,Accesorios de moda,27.02,3,13:01,Tarjeta crédito,7.1
ADJ053,Lima,Normal,Femenino,Accesorios Electrónicos,99.73,9,19:42,Tarjeta crédito,6.5
ADJ054,Lima,Afiliado,Femenino,Accesorios Electrónicos,13.22,5,19:26,Efectivo,4.3
ADJ055,Arequipa,Normal,Femenino,Deportes y viajes,14.39,2,19:44,Tarjeta crédito,7.2
ADJ056,Lima,Afiliado,Masculino,Hogar y estilo de vida,27,9,14:16,Efectivo,4.8
ADJ057,Arequipa,Afiliado,Femenino,Deportes y viajes,54.55,10,11:22,Tarjeta crédito,7.1
ADJ058,Arequipa,Normal,Femenino,Deportes y viajes,73.98,7,16:42,Tarjeta débito,4.1
ADJ059,Lima,Normal,Femenino,Salud y belleza,73.41,3,13:10,Tarjeta débito,4
ADJ060,Lima,Afiliado,Femenino,Hogar y estilo de vida,88.39,9,12:40,Efectivo,6.3
ADJ061,Trujillo,Afiliado,Femenino,Deportes y viajes,39.47,2,16:16,Tarjeta crédito,5
ADJ062,Arequipa,Afiliado,Femenino,Accesorios de moda,92.49,5,16:35,Tarjeta crédito,8.6
ADJ063,Arequipa,Afiliado,Masculino,Salud y belleza,85.6,7,13:50,Efectivo,5.3
ADJ064,Lima,Afiliado,Femenino,Accesorios Electrónicos,26.26,3,12:36,Tarjeta débito,6.3
ADJ065,Lima,Normal,Masculino,Deportes y viajes,25.31,2,19:26,Tarjeta débito,7.2
ADJ066,Trujillo,Normal,Masculino,Comidas y bebidas,66.52,4,18:14,Tarjeta débito,6.9
ADJ067,Lima,Normal,Femenino,Accesorios Electrónicos,38.27,2,18:18,Tarjeta crédito,5.8
ADJ068,Lima,Normal,Femenino,Hogar y estilo de vida,97.38,10,17:16,Tarjeta débito,4.4
ADJ069,Trujillo,Normal,Masculino,Salud y belleza,70.01,5,11:36,Tarjeta débito,5.5
ADJ070,Trujillo,Normal,Femenino,Salud y belleza,23.03,9,12:02,Tarjeta débito,7.9
ADJ071,Arequipa,Afiliado,Femenino,Salud y belleza,21.12,2,19:17,Efectivo,9.7
ADJ072,Trujillo,Normal,Femenino,Hogar y estilo de vida,67.09,5,16:47,Tarjeta crédito,9.1
ADJ073,Arequipa,Afiliado,Masculino,Salud y belleza,75.88,1,10:30,Tarjeta crédito,7.1
ADJ074,Lima,Normal,Masculino,Deportes y viajes,93.38,1,13:07,Efectivo,9.6
ADJ075,Lima,Normal,Femenino,Hogar y estilo de vida,63.15,6,20:24,Tarjeta débito,9.8
ADJ076,Lima,Afiliado,Masculino,Salud y belleza,62,8,19:08,Tarjeta crédito,6.2
ADJ077,Arequipa,Afiliado,Masculino,Comidas y bebidas,91.4,7,10:19,Efectivo,9.5
ADJ078,Lima,Afiliado,Femenino,Deportes y viajes,55.07,9,13:40,Tarjeta débito,10
ADJ079,Trujillo,Afiliado,Femenino,Hogar y estilo de vida,94.88,7,14:38,Efectivo,4.2
ADJ080,Trujillo,Normal,Masculino,Accesorios de moda,77.02,5,15:59,Efectivo,5.5
ADJ081,Arequipa,Normal,Masculino,Comidas y bebidas,40.52,5,15:19,Efectivo,4.5
ADJ082,Arequipa,Normal,Femenino,Deportes y viajes,73.95,4,10:02,Efectivo,6.1
ADJ083,Lima,Afiliado,Masculino,Deportes y viajes,73.97,1,15:53,Tarjeta crédito,5.4
ADJ084,Arequipa,Normal,Femenino,Deportes y viajes,49.33,10,16:40,Tarjeta crédito,9.4
ADJ085,Trujillo,Afiliado,Masculino,Comidas y bebidas,67.45,10,11:25,Tarjeta débito,4.2
ADJ086,Trujillo,Afiliado,Masculino,Hogar y estilo de vida,72.78,10,17:24,Efectivo,7.3
ADJ087,Lima,Normal,Femenino,Deportes y viajes,42.97,3,11:46,Efectivo,9.3
ADJ088,Trujillo,Normal,Femenino,Comidas y bebidas,27.28,5,10:31,Tarjeta crédito,8.6
ADJ089,Lima,Afiliado,Masculino,Comidas y bebidas,47.16,5,14:35,Tarjeta crédito,6
ADJ090,Lima,Afiliado,Masculino,Accesorios de moda,53.78,1,20:13,Tarjeta débito,4.7
ADJ091,Trujillo,Normal,Masculino,Hogar y estilo de vida,46.33,7,13:23,Tarjeta crédito,7.4
ADJ092,Lima,Afiliado,Masculino,Hogar y estilo de vida,30.12,8,13:01,Efectivo,7.7
ADJ093,Arequipa,Afiliado,Masculino,Accesorios Electrónicos,81.97,10,14:30,Efectivo,9.2
ADJ094,Arequipa,Normal,Masculino,Accesorios Electrónicos,20.85,8,19:17,Efectivo,6.3
ADJ095,Trujillo,Afiliado,Masculino,Comidas y bebidas,22.17,8,17:01,Tarjeta crédito,9.6
ADJ096,Lima,Afiliado,Femenino,Hogar y estilo de vida,94.49,8,19:00,Tarjeta débito,7.5
ADJ097,Arequipa,Afiliado,Femenino,Accesorios Electrónicos,51.92,5,13:42,Efectivo,7.5
ADJ098,Trujillo,Normal,Masculino,Salud y belleza,25,1,15:09,Tarjeta débito,5.5
ADJ099,Lima,Afiliado,Femenino,Comidas y bebidas,73.05,10,12:25,Tarjeta crédito,8.7
ADJ100,Arequipa,Afiliado,Masculino,Salud y belleza,46.53,6,10:54,Tarjeta crédito,4.3
ADJ101,Trujillo,Normal,Masculino,Salud y belleza,28.95,7,20:31,Tarjeta crédito,6
ADJ102,Arequipa,Normal,Femenino,Hogar y estilo de vida,44.01,8,17:36,Efectivo,8.8
ADJ103,Trujillo,Normal,Masculino,Accesorios de moda,46.41,1,20:06,Tarjeta crédito,4
ADJ104,Arequipa,Afiliado,Femenino,Accesorios Electrónicos,30.2,8,19:30,Tarjeta débito,5.1
ADJ105,Lima,Afiliado,Masculino,Accesorios Electrónicos,72.17,1,19:40,Efectivo,6.1
ADJ106,Arequipa,Afiliado,Femenino,Accesorios Electrónicos,66.65,9,18:19,Tarjeta crédito,9.7
ADJ107,Lima,Normal,Masculino,Deportes y viajes,46.42,3,13:24,Tarjeta crédito,4.4
ADJ108,Trujillo,Afiliado,Femenino,Hogar y estilo de vida,35.54,10,13:34,Tarjeta débito,7
ADJ109,Lima,Afiliado,Femenino,Accesorios de moda,68.71,4,19:01,Efectivo,4.1
ADJ110,Trujillo,Afiliado,Masculino,Salud y belleza,20.97,5,13:21,Efectivo,7.8
ADJ111,Trujillo,Afiliado,Masculino,Accesorios Electrónicos,71.95,1,12:14,Efectivo,7.3
ADJ112,Arequipa,Afiliado,Masculino,Hogar y estilo de vida,13.98,1,13:38,Tarjeta débito,9.8
ADJ113,Trujillo,Afiliado,Femenino,Accesorios Electrónicos,25.22,7,10:23,Efectivo,8.2
ADJ114,Lima,Afiliado,Femenino,Hogar y estilo de vida,77.68,9,13:21,Tarjeta débito,9.8
ADJ115,Lima,Afiliado,Femenino,Accesorios de moda,72.04,2,19:38,Efectivo,9.5
ADJ116,Trujillo,Normal,Femenino,Deportes y viajes,43.06,5,16:38,Tarjeta débito,7.7
ADJ117,Trujillo,Normal,Femenino,Accesorios de moda,48.63,4,15:44,Tarjeta débito,7.6
ADJ118,Arequipa,Normal,Femenino,Salud y belleza,13.85,9,12:50,Tarjeta débito,6
ADJ119,Lima,Afiliado,Masculino,Comidas y bebidas,23.34,4,18:53,Tarjeta débito,7.4
ADJ120,Trujillo,Normal,Masculino,Accesorios Electrónicos,74.58,7,16:09,Tarjeta crédito,9
ADJ121,Lima,Normal,Femenino,Comidas y bebidas,67.77,1,20:43,Tarjeta crédito,6.5
ADJ122,Arequipa,Afiliado,Femenino,Comidas y bebidas,98.7,8,20:39,Efectivo,7.6
ADJ123,Trujillo,Normal,Femenino,Deportes y viajes,12.34,7,11:19,Tarjeta crédito,6.7
ADJ124,Trujillo,Afiliado,Masculino,Salud y belleza,99.83,6,15:02,Tarjeta débito,8.5
ADJ125,Arequipa,Normal,Femenino,Accesorios Electrónicos,30.24,1,15:44,Efectivo,8.4
ADJ126,Lima,Afiliado,Masculino,Accesorios Electrónicos,19.24,9,16:28,Efectivo,8
ADJ127,Trujillo,Normal,Femenino,Hogar y estilo de vida,56.53,4,19:48,Tarjeta débito,5.5
ADJ128,Trujillo,Normal,Masculino,Salud y belleza,14.62,5,12:23,Efectivo,4.4
ADJ129,Trujillo,Afiliado,Masculino,Salud y belleza,48.63,10,12:44,Efectivo,8.8
ADJ130,Trujillo,Afiliado,Femenino,Accesorios de moda,48.96,9,11:27,Efectivo,8
ADJ131,Trujillo,Normal,Femenino,Salud y belleza,68.71,3,10:05,Efectivo,8.7
ADJ132,Trujillo,Normal,Femenino,Hogar y estilo de vida,33.3,9,15:27,Tarjeta débito,7.2
ADJ133,Trujillo,Normal,Femenino,Comidas y bebidas,74.66,4,10:39,Efectivo,8.5
ADJ134,Trujillo,Afiliado,Femenino,Salud y belleza,74.69,7,13:08,Tarjeta débito,9.1
ADJ135,Arequipa,Normal,Masculino,Accesorios de moda,27.38,6,20:54,Tarjeta crédito,7.9
ADJ136,Trujillo,Afiliado,Masculino,Hogar y estilo de vida,62.65,4,11:25,Efectivo,4.2
ADJ137,Trujillo,Afiliado,Masculino,Hogar y estilo de vida,70.74,4,16:05,Tarjeta crédito,4.4
ADJ138,Lima,Afiliado,Femenino,Hogar y estilo de vida,35.38,9,19:50,Tarjeta crédito,9.6
ADJ139,Arequipa,Afiliado,Femenino,Accesorios de moda,31.9,1,12:40,Tarjeta débito,9.1
ADJ140,Trujillo,Normal,Femenino,Hogar y estilo de vida,42.91,5,17:29,Tarjeta débito,6.1
ADJ141,Lima,Afiliado,Femenino,Accesorios de moda,73.96,1,11:32,Tarjeta crédito,5
ADJ142,Lima,Normal,Femenino,Comidas y bebidas,71.2,1,20:40,Tarjeta crédito,9.2
ADJ143,Arequipa,Normal,Femenino,Accesorios de moda,76.06,3,20:30,Tarjeta crédito,9.8
ADJ144,Arequipa,Normal,Femenino,Salud y belleza,78.89,7,19:48,Tarjeta débito,7.5
ADJ145,Trujillo,Normal,Femenino,Accesorios Electrónicos,93.88,7,11:51,Tarjeta crédito,7.3
ADJ146,Lima,Afiliado,Femenino,Deportes y viajes,16.49,2,11:32,Tarjeta débito,4.6
ADJ147,Arequipa,Afiliado,Femenino,Salud y belleza,98.21,3,10:41,Tarjeta crédito,7.8
ADJ148,Arequipa,Afiliado,Femenino,Salud y belleza,68.6,10,19:57,Efectivo,9.1
ADJ149,Trujillo,Afiliado,Masculino,Hogar y estilo de vida,25.91,6,10:16,Tarjeta débito,8.7
ADJ150,Arequipa,Afiliado,Masculino,Accesorios de moda,69.33,2,19:05,Tarjeta débito,9.7
ADJ151,Lima,Afiliado,Femenino,Comidas y bebidas,42.82,9,15:26,Tarjeta crédito,8.9
ADJ152,Lima,Normal,Femenino,Salud y belleza,58.24,9,12:34,Efectivo,9.7
ADJ153,Trujillo,Afiliado,Femenino,Deportes y viajes,75.2,3,11:51,Tarjeta débito,4.8
ADJ154,Trujillo,Afiliado,Femenino,Accesorios de moda,30.62,1,14:14,Tarjeta crédito,4.1
ADJ155,Trujillo,Afiliado,Masculino,Comidas y bebidas,87.9,1,19:42,Tarjeta débito,6.7
ADJ156,Arequipa,Afiliado,Femenino,Comidas y bebidas,47.27,6,10:17,Efectivo,8.8
ADJ157,Trujillo,Afiliado,Masculino,Accesorios Electrónicos,20.89,2,18:45,Efectivo,9.8
ADJ158,Lima,Normal,Masculino,Salud y belleza,87.98,3,10:40,Tarjeta débito,5.1
ADJ159,Lima,Afiliado,Femenino,Comidas y bebidas,48.52,3,18:17,Tarjeta débito,4
ADJ160,Arequipa,Afiliado,Femenino,Comidas y bebidas,78.31,10,16:24,Tarjeta débito,6.6
ADJ161,Arequipa,Normal,Femenino,Deportes y viajes,83.06,7,14:31,Tarjeta débito,4
ADJ162,Lima,Normal,Masculino,Hogar y estilo de vida,82.7,6,18:14,Efectivo,7.4
ADJ163,Lima,Afiliado,Masculino,Accesorios de moda,21.94,5,12:29,Tarjeta débito,5.3
ADJ164,Lima,Afiliado,Masculino,Comidas y bebidas,18.08,3,19:46,Tarjeta débito,8
ADJ165,Arequipa,Afiliado,Femenino,Accesorios de moda,44.22,5,17:07,Tarjeta crédito,8.6
ADJ166,Trujillo,Normal,Femenino,Accesorios de moda,81.91,2,17:43,Efectivo,7.8
ADJ167,Lima,Afiliado,Femenino,Salud y belleza,55.97,7,19:06,Tarjeta débito,8.9
ADJ168,Lima,Afiliado,Femenino,Salud y belleza,41.06,6,13:30,Tarjeta crédito,8.3
ADJ169,Lima,Afiliado,Femenino,Salud y belleza,25.32,8,20:24,Tarjeta débito,8.7
ADJ170,Arequipa,Afiliado,Femenino,Hogar y estilo de vida,12.12,10,13:44,Tarjeta crédito,8.4
ADJ171,Trujillo,Normal,Masculino,Accesorios Electrónicos,78.31,3,16:38,Tarjeta débito,5.4
ADJ172,Lima,Normal,Masculino,Deportes y viajes,69.74,10,17:49,Tarjeta crédito,8.9
ADJ173,Lima,Normal,Femenino,Hogar y estilo de vida,95.46,8,19:40,Tarjeta débito,4.7
ADJ174,Arequipa,Afiliado,Masculino,Salud y belleza,65.31,7,18:02,Tarjeta crédito,4.2
ADJ175,Arequipa,Normal,Masculino,Comidas y bebidas,89.48,10,12:46,Tarjeta crédito,9.6
ADJ176,Trujillo,Afiliado,Masculino,Hogar y estilo de vida,58.9,8,11:23,Efectivo,8.9
ADJ177,Trujillo,Normal,Femenino,Deportes y viajes,15.34,1,11:09,Efectivo,6.5
ADJ178,Arequipa,Normal,Femenino,Accesorios de moda,81.68,4,12:12,Efectivo,9.1
ADJ179,Trujillo,Normal,Femenino,Comidas y bebidas,40.94,5,13:58,Tarjeta débito,9.9
ADJ180,Lima,Normal,Masculino,Hogar y estilo de vida,62.19,4,19:46,Tarjeta débito,4.3
ADJ181,Lima,Afiliado,Masculino,Salud y belleza,80.47,9,11:18,Efectivo,9.2
ADJ182,Trujillo,Normal,Masculino,Deportes y viajes,64.59,4,13:35,Tarjeta débito,9.3
ADJ183,Trujillo,Normal,Femenino,Accesorios de moda,42.57,7,11:51,Efectivo,6.8
ADJ184,Lima,Afiliado,Femenino,Accesorios de moda,14.48,4,18:07,Tarjeta débito,4.5
ADJ185,Arequipa,Afiliado,Femenino,Comidas y bebidas,99.42,4,10:42,Tarjeta débito,7.5
ADJ186,Lima,Afiliado,Femenino,Comidas y bebidas,20.01,9,15:47,Tarjeta débito,4.1
ADJ187,Arequipa,Normal,Masculino,Salud y belleza,89.75,1,20:05,Tarjeta crédito,6.6
ADJ188,Lima,Afiliado,Masculino,Salud y belleza,25.9,10,14:51,Tarjeta débito,8.7
ADJ189,Arequipa,Afiliado,Masculino,Accesorios de moda,96.98,4,17:20,Tarjeta débito,9.4
ADJ190,Trujillo,Afiliado,Femenino,Hogar y estilo de vida,37.44,6,13:55,Tarjeta crédito,5.9
ADJ191,Lima,Normal,Masculino,Accesorios Electrónicos,22.95,10,19:20,Tarjeta débito,8.2
ADJ192,Trujillo,Normal,Femenino,Salud y belleza,35.68,5,18:33,Tarjeta crédito,6.6
ADJ193,Arequipa,Afiliado,Femenino,Salud y belleza,28.5,8,14:24,Efectivo,6.6
ADJ194,Arequipa,Normal,Femenino,Comidas y bebidas,52.42,1,10:22,Tarjeta crédito,6.3
ADJ195,Lima,Afiliado,Masculino,Accesorios Electrónicos,50.45,6,15:16,Tarjeta crédito,8.9
ADJ196,Arequipa,Afiliado,Masculino,Hogar y estilo de vida,35.81,5,18:44,Tarjeta débito,7.9
ADJ197,Trujillo,Afiliado,Masculino,Deportes y viajes,15.81,10,12:27,Tarjeta crédito,8.6
ADJ198,Trujillo,Afiliado,Femenino,Deportes y viajes,92.13,6,20:34,Efectivo,8.3
ADJ199,Lima,Afiliado,Masculino,Hogar y estilo de vida,71.86,8,15:07,Tarjeta crédito,6.2
ADJ200,Lima,Normal,Masculino,Comidas y bebidas,62.08,7,13:46,Tarjeta débito,5.4
ADJ201,Lima,Normal,Femenino,Deportes y viajes,67.43,5,18:13,Tarjeta débito,6.3
ADJ202,Arequipa,Normal,Masculino,Hogar y estilo de vida,37,1,13:29,Tarjeta crédito,7.9
ADJ203,Trujillo,Afiliado,Masculino,Accesorios Electrónicos,21.5,9,12:46,Tarjeta crédito,7.8
ADJ204,Trujillo,Normal,Femenino,Salud y belleza,79.74,1,10:36,Tarjeta débito,7.3
ADJ205,Lima,Afiliado,Masculino,Deportes y viajes,37.32,9,15:31,Tarjeta débito,5.1
ADJ206,Lima,Normal,Masculino,Accesorios Electrónicos,28.38,5,20:57,Efectivo,9.4
ADJ207,Lima,Afiliado,Masculino,Accesorios de moda,49.92,2,11:55,Tarjeta crédito,7
ADJ208,Arequipa,Afiliado,Femenino,Deportes y viajes,68.12,1,12:28,Tarjeta débito,6.8
ADJ209,Lima,Afiliado,Femenino,Accesorios de moda,97.61,6,15:01,Tarjeta débito,9.9
ADJ210,Trujillo,Afiliado,Masculino,Accesorios Electrónicos,77.72,4,16:11,Tarjeta crédito,8.8
ADJ211,Trujillo,Afiliado,Femenino,Hogar y estilo de vida,21.54,9,11:44,Tarjeta crédito,8.8
ADJ212,Lima,Normal,Masculino,Accesorios de moda,47.97,7,20:52,Efectivo,6.2
ADJ213,Arequipa,Afiliado,Femenino,Hogar y estilo de vida,21.82,10,17:36,Efectivo,7.1
ADJ214,Lima,Afiliado,Femenino,Comidas y bebidas,89.14,4,12:20,Tarjeta crédito,7.8
ADJ215,Trujillo,Normal,Masculino,Deportes y viajes,60.95,9,12:08,Tarjeta crédito,6
ADJ216,Arequipa,Normal,Masculino,Comidas y bebidas,27.22,3,12:37,Efectivo,7.3
ADJ217,Trujillo,Normal,Masculino,Comidas y bebidas,43.19,10,16:48,Tarjeta débito,8.2
ADJ218,Trujillo,Normal,Masculino,Salud y belleza,89.6,8,11:28,Tarjeta débito,6.6
ADJ219,Arequipa,Normal,Femenino,Comidas y bebidas,16.48,6,18:23,Tarjeta débito,9.9
ADJ220,Arequipa,Afiliado,Masculino,Accesorios Electrónicos,65.94,4,13:05,Tarjeta crédito,6.9
ADJ221,Lima,Normal,Masculino,Hogar y estilo de vida,22.02,9,18:48,Efectivo,6.8
ADJ222,Arequipa,Normal,Femenino,Accesorios Electrónicos,40.86,8,14:38,Tarjeta crédito,6.5
ADJ223,Lima,Normal,Masculino,Accesorios Electrónicos,79.39,10,20:24,Efectivo,6.2
ADJ224,Lima,Afiliado,Femenino,Comidas y bebidas,54.36,10,11:28,Tarjeta crédito,6.1
ADJ225,Arequipa,Normal,Masculino,Hogar y estilo de vida,16.67,7,11:36,Tarjeta débito,7.4
ADJ226,Trujillo,Afiliado,Femenino,Deportes y viajes,45.58,1,14:13,Efectivo,9.8
ADJ227,Trujillo,Normal,Femenino,Accesorios Electrónicos,28.96,1,10:18,Tarjeta crédito,6.2
ADJ228,Arequipa,Afiliado,Femenino,Accesorios de moda,43.46,6,17:55,Tarjeta débito,8.5
ADJ229,Arequipa,Normal,Masculino,Salud y belleza,58.95,10,14:27,Tarjeta débito,8.1
ADJ230,Arequipa,Normal,Femenino,Accesorios de moda,60.41,8,12:23,Tarjeta débito,9.6
ADJ231,Arequipa,Afiliado,Masculino,Deportes y viajes,10.17,1,14:15,Efectivo,5.9
ADJ232,Lima,Normal,Femenino,Accesorios Electrónicos,57.91,8,15:06,Efectivo,8.1
ADJ233,Trujillo,Normal,Femenino,Hogar y estilo de vida,93.12,8,10:09,Efectivo,6.8
ADJ234,Lima,Normal,Masculino,Accesorios Electrónicos,46.02,6,15:55,Efectivo,7.1
ADJ235,Arequipa,Normal,Masculino,Accesorios de moda,86.13,2,17:59,Efectivo,8.2
ADJ236,Lima,Normal,Femenino,Accesorios de moda,63.71,5,19:30,Tarjeta débito,8.5
ADJ237,Lima,Normal,Masculino,Hogar y estilo de vida,16.16,2,11:49,Tarjeta débito,6.5
ADJ238,Lima,Normal,Masculino,Hogar y estilo de vida,50.28,5,13:58,Tarjeta débito,9.7
ADJ239,Arequipa,Normal,Femenino,Accesorios de moda,16.45,4,14:53,Tarjeta débito,5.6
ADJ240,Trujillo,Afiliado,Femenino,Salud y belleza,15.55,9,13:12,Efectivo,5
ADJ241,Arequipa,Normal,Masculino,Comidas y bebidas,99.79,2,20:37,Tarjeta débito,8
ADJ242,Arequipa,Normal,Masculino,Accesorios Electrónicos,84.07,4,16:54,Tarjeta débito,4.4
ADJ243,Trujillo,Normal,Masculino,Hogar y estilo de vida,97.94,1,11:44,Tarjeta débito,6.9
ADJ244,Arequipa,Normal,Masculino,Accesorios Electrónicos,22.21,6,10:23,Tarjeta crédito,8.6
ADJ245,Trujillo,Afiliado,Femenino,Hogar y estilo de vida,28.31,4,18:35,Efectivo,8.2
ADJ246,Arequipa,Normal,Femenino,Accesorios de moda,31.73,9,16:17,Tarjeta crédito,5.9
ADJ247,Arequipa,Afiliado,Femenino,Comidas y bebidas,68.54,8,15:57,Tarjeta débito,8.5
ADJ248,Lima,Afiliado,Femenino,Comidas y bebidas,74.6,10,20:55,Efectivo,9.5
ADJ249,Arequipa,Normal,Femenino,Hogar y estilo de vida,45.38,4,13:48,Tarjeta crédito,8.7
ADJ250,Arequipa,Normal,Masculino,Accesorios de moda,12.78,1,14:11,Tarjeta débito,9.5
ADJ251,Trujillo,Normal,Masculino,Deportes y viajes,37.14,5,13:05,Tarjeta débito,5
ADJ252,Lima,Afiliado,Femenino,Deportes y viajes,48.5,3,12:50,Efectivo,6.7
ADJ253,Arequipa,Afiliado,Femenino,Accesorios de moda,51.89,7,20:08,Efectivo,4.5
ADJ254,Lima,Afiliado,Femenino,Hogar y estilo de vida,49.1,2,12:58,Tarjeta crédito,6.4
ADJ255,Lima,Afiliado,Femenino,Deportes y viajes,64.83,2,11:59,Tarjeta crédito,8
ADJ256,Arequipa,Afiliado,Masculino,Hogar y estilo de vida,55.57,3,11:42,Tarjeta crédito,5.9
ADJ257,Lima,Afiliado,Masculino,Accesorios de moda,65.23,10,19:07,Tarjeta crédito,5.2
ADJ258,Trujillo,Normal,Femenino,Accesorios Electrónicos,50.23,4,17:12,Efectivo,9
ADJ259,Arequipa,Afiliado,Femenino,Comidas y bebidas,72.88,9,19:38,Efectivo,4
